show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s3709,TV Show,Paquita Salas,Not Given,Spain,6/28/2019,2018,TV-MA,3 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies"
s6053,Movie,A Perfect Man,Kees Van Oostrum,United States,6/6/2019,2013,R,94 min,"Dramas, Independent Movies, Romantic Movies"
s8653,Movie,Ugly,Anurag Kashyap,India,3/1/2017,2013,NR,125 min,"Dramas, International Movies, Thrillers"
s1506,TV Show,Rhyme Time Town Singalongs,Not Given,United States,12/22/2020,2020,TV-Y,1 Season,Kids' TV
s2052,Movie,Ave Maryam,Ertanto Robby Soediskam,Indonesia,9/3/2020,2018,TV-PG,73 min,"Dramas, Independent Movies, International Movies"
s7516,Movie,Movie 43,"Peter Farrelly, Will Graham, Steve Carr, Griffin Dunne, Steve Brill, James Duffy, Jonathan van Tulleken, Elizabeth Banks, Patrik Forsberg, Brett Ratner, Rusty Cundieff, James Gunn",United States,4/9/2019,2013,R,94 min,Comedies
s6160,Movie,Anarkali of Aarah,Avinash Das,India,8/1/2017,2017,TV-MA,111 min,"Dramas, Independent Movies, International Movies"
s1820,Movie,Ghadi,Amin Dora,Lebanon,10/19/2020,2013,TV-MA,101 min,"Comedies, Dramas, International Movies"
s1237,Movie,Sentinelle,Julien Leclercq,France,3/5/2021,2021,TV-MA,81 min,"Action & Adventure, Dramas, International Movies"
s7617,Movie,NOVA: Thai Cave Rescue,Tom Stubberfield,United States,7/1/2019,2018,TV-PG,53 min,Documentaries
s1961,Movie,Kiss the Ground,"Joshua Tickell, Rebecca Harrell Tickell",United States,9/22/2020,2020,TV-G,85 min,Documentaries
s2048,TV Show,Spirit Riding Free: Riding Academy,Not Given,United States,9/4/2020,2020,TV-Y7,2 Seasons,Kids' TV
s5038,Movie,Irreplaceable You,Stephanie Laing,United States,2/16/2018,2018,TV-MA,96 min,"Dramas, Romantic Movies"
s4671,TV Show,Sisters,Not Given,Australia,9/1/2018,2018,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas"
s7645,Movie,Oh My Ghost 3,Poj Arnon,Thailand,8/16/2018,2012,TV-MA,103 min,"Comedies, Horror Movies, International Movies"
s521,TV Show,I Think You Should Leave with Tim Robinson,Not Given,United States,7/6/2021,2021,TV-MA,2 Seasons,TV Comedies
